episode,success,steps,total_reward,final_exploration_rate
1,True,18,4.806020440068761,0.8842081027873596
2,True,37,2.64313229325575,0.7027401178764716
3,False,50,-12.370497984821428,0.5321268087847422
4,True,25,5.50926190892816,0.48148171078157775
5,False,50,-6.138924734152541,0.3945108478428745
6,False,50,-8.061376602561872,0.3359564401638564
7,False,50,-8.51229480453689,0.2960386246688043
8,False,50,-8.398111643665786,0.26405040235608923
9,False,50,-9.828943682061132,0.23616993296876995
10,False,50,-7.696556065505918,0.2120928572569128
11,False,50,-7.658603191696113,0.1908775353664495
12,False,50,-8.152996954721171,0.1721967959144015
13,False,50,-6.882615672410889,0.1555313116385444
14,False,50,-8.96823601089283,0.14044379001394577
15,False,50,-9.072625881184251,0.12689538706607617
16,False,50,-7.982886291392278,0.1146154493056419
17,False,50,-6.804678956650116,0.10363641432305314
18,False,50,-6.942893343018085,0.09368897307176056
19,False,50,-7.011297556377695,0.08470994999820666
20,False,50,-6.8409282490484,0.0764160292953375
21,False,50,-7.978408282331472,0.06911118435851898
22,False,50,-7.405332681415855,0.06250544133937357
23,False,50,-6.651769158085238,0.05653790659729028
24,False,50,-6.688633797362165,0.05114230041502461
25,False,50,-6.658497489227163,0.05
26,False,50,-6.935547365971158,0.05
27,False,50,-6.677874800415564,0.05
28,False,50,-6.629311790756965,0.05
29,False,50,-6.614887738128135,0.05
30,False,50,-7.021124339089756,0.05
31,False,50,-7.019567367945665,0.05
32,False,50,-7.015882261026404,0.05
33,False,50,-6.659889340765885,0.05
34,False,50,-6.611460622300108,0.05
35,False,50,-7.135526634440332,0.05
36,False,50,-7.089795878736602,0.05
37,False,50,-7.39724436623267,0.05
38,False,50,-7.421736185014943,0.05
39,False,50,-10.557839159138993,0.05
40,False,50,-6.726978083482992,0.05
41,False,50,-6.62111349884466,0.05
42,False,50,-6.834129974197677,0.05
43,False,50,-7.039211822773726,0.05
44,False,50,-7.107761779410589,0.05
45,False,50,-7.310357197764521,0.05
46,False,50,-6.6372930179928735,0.05
47,False,50,-7.2897443636004455,0.05
48,False,50,-6.643802823254827,0.05
49,False,50,-8.010146668910911,0.05
50,False,50,-7.173541750991938,0.05
51,False,50,-7.051878634296255,0.05
52,False,50,-8.107258568962287,0.05
53,False,50,-7.024686845199838,0.05
54,False,50,-6.688830154506557,0.05
55,False,50,-8.322635669247676,0.05
56,False,50,-6.525855674762979,0.05
57,False,50,-7.04790672651313,0.05
58,False,50,-12.420478908025805,0.05
59,False,50,-6.954422980596325,0.05
60,False,50,-6.886420132722355,0.05
61,False,50,-7.40656072538825,0.05
62,False,50,-7.800158644656407,0.05
63,False,50,-8.093773262684882,0.05
64,False,50,-8.235831010060913,0.05
65,False,50,-6.70541467648938,0.05
66,False,50,-6.626790198518107,0.05
67,False,50,-8.112971520777558,0.05
68,False,50,-7.746153758470456,0.05
