episode,success,steps,total_reward,final_exploration_rate
1,False,50,-13.59085988530993,0.6844674430049585
2,False,50,-11.62032400349671,0.477438124695688
3,True,18,7.522684455173659,0.4207933250848636
4,True,10,9.116225576022014,0.3930327558120867
5,False,50,-10.901773207263611,0.28862575108412636
6,True,9,8.816496648400253,0.27401917434729994
7,True,5,9.205115307027294,0.26646755191233934
8,False,50,-9.233722502116393,0.2064667847013354
9,False,50,-15.566107656484123,0.17392391064082527
10,False,50,-8.456713407830657,0.1460956100248176
11,True,19,7.818798765834116,0.13837005620419499
12,False,50,-8.468982105229713,0.12055953971101331
13,False,50,-9.3274509120654,0.10675870877362613
14,True,46,-1.5903152342545166,0.09634528085998613
15,False,50,-7.362848038214984,0.08578652038117539
16,False,50,-7.681231146894511,0.07637910371881561
17,False,50,-7.286061282744765,0.06855343799962964
18,False,50,-8.140643040878793,0.06156041705412439
19,False,50,-7.676468831625033,0.05532437830625781
20,False,50,-6.891360829268741,0.05
21,False,50,-7.2703766702337465,0.05
22,False,50,-6.880397189728919,0.05
23,False,50,-6.8743253991634425,0.05
24,True,34,1.1803555638421255,0.05
25,False,50,-8.063470339617508,0.05
26,False,50,-8.06066740694614,0.05
27,False,50,-7.27044386354418,0.05
28,False,50,-6.869544227100574,0.05
29,False,50,-8.074259079898173,0.05
30,False,50,-7.665541239686501,0.05
31,False,50,-7.266132960146309,0.05
32,False,50,-6.874277410619091,0.05
33,False,50,-6.875570328294028,0.05
34,False,50,-7.667493029901557,0.05
35,False,50,-6.8771026846697865,0.05
36,False,50,-8.85712271219767,0.05
37,False,50,-7.293193529447671,0.05
38,False,50,-8.464487201256604,0.05
39,False,50,-7.681678248292108,0.05
40,False,50,-6.88038714762498,0.05
41,False,50,-7.267979867205001,0.05
42,False,50,-7.684629785984626,0.05
43,False,50,-8.044460801797504,0.05
44,False,50,-7.289232231841023,0.05
45,False,50,-8.06126933534663,0.05
46,False,50,-6.87798849606339,0.05
47,False,50,-6.8808099627856825,0.05
48,False,50,-6.8796519964976035,0.05
49,False,50,-7.2714671416582215,0.05
50,False,50,-6.879131009451399,0.05
51,False,50,-7.66618381750629,0.05
52,False,50,-6.876426725271261,0.05
53,False,50,-6.877336873203734,0.05
54,False,50,-7.272246841053016,0.05
55,False,50,-7.644863348022048,0.05
56,False,50,-6.8959467119926945,0.05
57,False,50,-7.669261873490416,0.05
58,False,50,-7.253537336608868,0.05
59,False,50,-8.46326878445046,0.05
60,False,50,-6.880064874404728,0.05
61,False,50,-8.06511659550642,0.05
62,False,50,-6.876683119979292,0.05
63,False,50,-8.458324754029631,0.05
64,False,50,-6.886944470331063,0.05
65,False,50,-6.8800801641560945,0.05
66,False,50,-7.267258442113647,0.05
67,False,50,-6.87816259553665,0.05
68,False,50,-7.27441432228021,0.05
69,False,50,-7.669963187145634,0.05
70,False,50,-7.672009836218274,0.05
71,False,50,-6.873308651868138,0.05
72,False,50,-6.87904648249201,0.05
73,False,50,-7.346874814693683,0.05
74,False,50,-11.238830662438447,0.05
75,False,50,-6.893788396684442,0.05
76,False,50,-8.059693621289943,0.05
77,False,50,-7.288910609615408,0.05
78,False,50,-7.273254804367181,0.05
79,False,50,-8.855549000176824,0.05
80,False,50,-6.869821449127309,0.05
81,False,50,-6.8951415112539385,0.05
82,False,50,-5.379532860288508,0.05
83,False,50,-7.285392058946895,0.05
84,False,50,-6.87139776351639,0.05
85,False,50,-6.876340341632959,0.05
86,False,50,-8.453057022395443,0.05
87,False,50,-6.8714308559485575,0.05
88,False,50,-6.896546559226084,0.05
89,False,50,-7.27388541996431,0.05
90,False,50,-8.069830667488933,0.05
91,False,50,-8.06771733561386,0.05
92,False,50,-6.874416915437359,0.05
93,False,50,-7.277335893701284,0.05
94,False,50,-7.278966582067881,0.05
95,False,50,-6.560104368715785,0.05
96,False,50,-6.896189086080736,0.05
97,False,50,-6.880909490028834,0.05
98,False,50,-7.278198094844376,0.05
99,False,50,-6.881083513961404,0.05
100,False,50,-6.861285545935747,0.05
101,False,50,-6.868562179050446,0.05
102,False,50,-7.282049623197183,0.05
103,False,50,-7.278196759853035,0.05
104,False,50,-8.456287835740305,0.05
105,False,50,-6.894188415747782,0.05
106,False,50,-7.277661540911587,0.05
107,False,50,-7.278113672377351,0.05
108,False,50,-13.58572630310329,0.05
109,False,50,-6.885791357403669,0.05
110,False,50,-7.2737386001886275,0.05
111,False,50,-7.673865404483607,0.05
112,False,50,-8.8462761290403,0.05
113,False,50,-6.863096097521298,0.05
114,False,50,-6.878151658048974,0.05
115,False,50,-6.875166467586849,0.05
116,False,50,-7.674286549064979,0.05
117,False,50,-6.872004874541157,0.05
118,False,50,-7.295223277933357,0.05
119,False,50,-6.874749376440571,0.05
120,False,50,-8.459435690780056,0.05
121,False,50,-9.232786202462798,0.05
122,False,50,-7.276533643056782,0.05
123,False,50,-6.876258467521361,0.05
124,False,50,-7.669750462202983,0.05
125,False,50,-6.876119468634241,0.05
126,False,50,-8.053722763969578,0.05
127,False,50,-6.868511620882053,0.05
128,False,50,-7.668501364714821,0.05
129,False,50,-8.072879358843497,0.05
130,False,50,-6.877831016203887,0.05
131,False,50,-6.8772506517793905,0.05
132,False,50,-6.875923925849753,0.05
133,False,50,-8.057227289713957,0.05
134,False,50,-9.231086500284942,0.05
135,False,50,-6.896374305899044,0.05
136,False,50,-7.6471969224156995,0.05
137,False,50,-6.871007941844492,0.05
138,False,50,-6.873566159261906,0.05
139,False,50,-7.271643252802447,0.05
140,False,50,-6.876363192393813,0.05
141,False,50,-7.275811600072392,0.05
142,False,50,-6.8735846860152146,0.05
143,False,50,-6.876040579517438,0.05
144,False,50,-7.272393566658298,0.05
145,False,50,-6.8842940803201795,0.05
146,False,50,-7.669504706763685,0.05
147,False,50,-7.291959415446035,0.05
148,False,50,-7.6677289829407,0.05
149,False,50,-6.883385623408828,0.05
150,False,50,-7.260901263368699,0.05
151,False,50,-6.8721694912874,0.05
152,False,50,-7.2941862224469425,0.05
153,False,50,-7.282353405684659,0.05
154,False,50,-6.879931248211326,0.05
155,False,50,-6.898112577531829,0.05
156,False,50,-6.849047697175496,0.05
157,False,50,-6.880208274309199,0.05
158,False,50,-8.059873121662484,0.05
159,False,50,-6.877948773156572,0.05
160,False,50,-7.26251525515589,0.05
161,False,50,-9.639991843407039,0.05
162,False,50,-5.378114647470547,0.05
163,False,50,-8.870459678768006,0.05
164,False,50,-6.895646537435527,0.05
165,False,50,-7.275110457697568,0.05
166,False,50,-6.880898984593202,0.05
167,False,50,-11.230066278240471,0.05
168,False,50,-6.8773313393995625,0.05
169,False,50,-8.06703988371562,0.05
170,False,50,-6.880739299765438,0.05
171,False,50,-7.272752519282076,0.05
172,False,50,-6.856377234159091,0.05
173,False,50,-7.293705953875905,0.05
174,False,50,-7.645333578178619,0.05
175,False,50,-6.866686308792772,0.05
176,False,50,-6.877511567665294,0.05
177,False,50,-6.879182515146615,0.05
178,False,50,-6.879895584935827,0.05
179,False,50,-7.277944641262776,0.05
180,False,50,-7.6623990542151414,0.05
181,False,50,-7.274794445082787,0.05
182,False,50,-7.662506344769914,0.05
183,False,50,-7.291444804974348,0.05
184,False,50,-6.875856384717007,0.05
185,False,50,-7.2769899913067215,0.05
186,False,50,-7.685636609572969,0.05
187,False,50,-7.278974031372159,0.05
188,False,50,-6.871154586202515,0.05
189,False,50,-6.880398176224447,0.05
190,False,50,-6.868708787489691,0.05
191,False,50,-7.274705585362609,0.05
192,False,50,-13.940871320938786,0.05
193,False,50,-8.472501115313193,0.05
194,False,50,-7.671009262112318,0.05
195,False,50,-9.244027401018442,0.05
196,False,50,-14.774793368390068,0.05
197,False,50,-7.362482163714832,0.05
198,False,50,-11.589251745804956,0.05
199,False,50,-6.879683966534554,0.05
200,False,50,-7.673934827162463,0.05
201,False,50,-7.257855620744432,0.05
202,False,50,-7.27150535883543,0.05
203,False,50,-6.872364323775247,0.05
204,False,50,-8.44271994350058,0.05
205,False,50,-7.650439835063496,0.05
206,False,50,-8.441345660800849,0.05
207,False,50,-7.263441557958698,0.05
208,False,50,-6.87905661927558,0.05
209,False,50,-7.279344263275949,0.05
210,False,50,-6.8714898526897965,0.05
211,False,50,-6.876417019807679,0.05
212,False,50,-6.87533515890499,0.05
213,False,50,-6.88021676107341,0.05
214,False,50,-6.879327987276371,0.05
215,False,50,-8.065573832497368,0.05
216,False,50,-7.27780462865975,0.05
217,False,50,-6.875406967640967,0.05
218,False,50,-6.879944185988425,0.05
219,False,50,-7.669642701199842,0.05
220,False,50,-10.372980844216533,0.05
221,False,50,-8.451149802498156,0.05
222,True,15,6.6378009715785415,0.05
223,False,50,-14.361203461645102,0.05
224,False,50,-6.873059158261293,0.05
225,False,50,-11.226047212599212,0.05
226,False,50,-7.285775456235279,0.05
227,False,50,-8.847981716527244,0.05
228,False,50,-6.8674975428764355,0.05
229,False,50,-7.277887637191919,0.05
230,False,50,-8.462985266997654,0.05
231,False,50,-7.271652428221206,0.05
232,False,50,-8.457618170962014,0.05
233,False,50,-6.879189379478814,0.05
234,False,50,-6.8772696807496985,0.05
235,False,50,-7.2714458969955515,0.05
236,False,50,-7.278704025361589,0.05
237,False,50,-6.876811555023174,0.05
238,False,50,-6.873698806701034,0.05
239,False,50,-8.063464472674369,0.05
240,False,50,-7.670027072981575,0.05
241,False,50,-7.2732150820874795,0.05
242,False,50,-6.8774117299010875,0.05
243,False,50,-6.877359501613758,0.05
244,False,50,-7.273091690525968,0.05
245,False,50,-8.063127981810233,0.05
246,False,50,-5.775392741735346,0.05
247,False,50,-7.290125800959586,0.05
248,False,50,-6.875062311774535,0.05
249,False,50,-7.277388482266884,0.05
250,False,50,-7.672479557918446,0.05
251,False,50,-8.461308940297087,0.05
252,False,50,-7.273987498306562,0.05
253,False,50,-7.27681333488235,0.05
254,False,50,-7.668593545434918,0.05
255,False,50,-7.288759947970382,0.05
256,False,50,-6.877231091880428,0.05
257,False,50,-6.870869985222915,0.05
258,False,50,-8.85025683216869,0.05
259,False,50,-10.08710301196647,0.05
260,False,50,-15.17950795127411,0.05
261,False,50,-9.636327906758586,0.05
262,False,50,-10.827097677982644,0.05
263,False,50,-7.664316201958157,0.05
264,False,50,-7.6658774050504945,0.05
265,True,24,6.927339048154614,0.05
266,True,34,-0.3997505196844706,0.05
267,True,24,5.337825696487144,0.05
268,False,50,-15.95099467170102,0.05
269,False,50,-8.453579325610205,0.05
270,False,50,-8.061964714447527,0.05
271,False,50,-11.57631841931959,0.05
272,False,50,-8.462568924718935,0.05
273,False,50,-6.875824510261236,0.05
274,False,50,-8.46888399121723,0.05
275,False,50,-7.27654702055308,0.05
276,False,50,-6.877729113440891,0.05
277,False,50,-7.2725465517916295,0.05
278,False,50,-8.045406650310625,0.05
279,False,50,-7.665059098087152,0.05
280,False,50,-7.272484741068384,0.05
281,False,50,-6.882379196972201,0.05
282,True,36,5.740365953962568,0.05
283,False,50,-8.47084786787973,0.05
284,False,50,-6.876215276780244,0.05
285,False,50,-7.276794347788018,0.05
286,False,50,-8.072460999876736,0.05
287,False,50,-7.278963298523183,0.05
288,False,50,-7.671889770351024,0.05
289,True,39,-4.45167967434365,0.05
290,True,30,-1.577643697175942,0.05
291,True,26,0.40203559291449587,0.05
292,False,50,-17.517349195475145,0.05
293,True,47,1.8984006075704674,0.05
294,False,50,-15.137773121754815,0.05
295,True,17,6.4367246503738675,0.05
296,False,50,-6.8765174065081105,0.05
297,True,36,-1.3806190067339656,0.05
298,False,50,-6.8865043246847755,0.05
299,False,50,-7.270889246443291,0.05
300,False,50,-7.3491289898911205,0.05
301,False,50,-6.8960612176246086,0.05
302,False,50,-8.09143810938495,0.05
303,False,50,-13.674308686963009,0.05
304,False,50,-7.675021107488939,0.05
305,False,50,-7.273055375366727,0.05
306,False,50,-7.677604822251859,0.05
307,False,50,-7.667742855007307,0.05
308,False,50,-6.563731873121049,0.05
309,False,50,-6.882980452146824,0.05
310,True,50,4.3371182851935215,0.05
311,False,50,-8.080645399601634,0.05
312,False,50,-7.672484531809856,0.05
313,False,50,-8.067136015131545,0.05
314,False,50,-6.873987621365059,0.05
315,False,50,-10.501765890998378,0.05
316,True,25,1.6784223545373624,0.05
317,True,41,-3.8504495917763144,0.05
318,True,30,-0.7888463879916436,0.05
319,True,29,-1.0844590071864157,0.05
320,True,40,-5.742078238779744,0.05
321,True,30,-1.5779538616488171,0.05
322,True,21,2.8779042510574318,0.05
323,False,50,-19.084946502856365,0.05
324,False,50,-9.227144353932745,0.05
