episode,success,steps,total_reward,final_exploration_rate
1,False,500,-80.47581107234053,0.9787520933134615
2,False,500,-76.65135376065393,0.806454822840097
3,False,500,-68.47232787712662,0.6722779627867691
4,False,500,-61.628670418167225,0.5677874521460121
5,False,500,-64.74967851491209,0.48641524825313087
6,False,500,-62.82601819952039,0.4230464741340195
7,False,500,-59.26708397798254,0.37369790863805413
8,False,500,-64.05170765840663,0.3352676099560542
9,False,500,-60.72048555883177,0.3053399344107859
10,False,500,-58.11094892861516,0.2820336944319021
11,False,500,-58.13403857133549,0.26388391126108035
12,False,500,-64.68674332752043,0.2497497296236176
13,False,500,-53.663220186377806,0.23874270608617076
14,False,500,-58.02707965473375,0.23017096346523358
15,False,500,-61.545158989156796,0.22349570095583451
16,False,500,-58.82543853155971,0.21829732630322315
17,False,500,-58.79971445768337,0.21424908116067445
18,False,500,-59.953110294499076,0.2110965017816686
19,False,500,-56.013872158714676,0.20864142399093097
20,False,500,-56.452841633975304,0.20672952702214664
21,False,500,-59.70662671862743,0.20524063325550618
22,False,500,-55.77551822344451,0.20408115411801356
23,False,500,-57.39375723394239,0.2031782073125379
24,False,500,-54.63985134957425,0.20247503559762306
25,False,500,-57.4118021526956,0.20192743915267428
26,False,500,-58.20599026233928,0.2015009972748794
27,False,500,-55.07829742095927,0.20116890476987015
28,False,500,-55.007494344311496,0.20091028703642047
29,False,500,-56.55221768475247,0.20070888793512856
30,False,500,-61.3915158321626,0.200552047963406
31,False,500,-55.80571800516344,0.20042990850711187
32,False,500,-61.53340619971358,0.20033479214984665
33,False,500,-54.84713536621965,0.20026072008751797
34,False,500,-59.84095633725888,0.2002030363139235
35,False,500,-57.439600786250345,0.20015811495448657
36,False,500,-57.11441151055021,0.20012313235179058
37,False,500,-57.99085864421154,0.20009588957671154
38,False,500,-59.88362121419361,0.20007467420859104
39,False,500,-58.928077767971075,0.20005815269625682
40,False,500,-57.53128895704906,0.20004528653394182
41,False,500,-56.76563692955576,0.2000352669831061
42,False,500,-57.24036925408881,0.20002746423691872
43,False,500,-54.89259736809287,0.20002138783199172
44,False,500,-56.76118497426936,0.200016655818935
45,False,500,-58.12491483543657,0.20001297075386149
46,False,500,-59.99782703579461,0.20001010100172148
47,False,500,-59.98176538964056,0.20000786617623517
48,False,500,-54.4894483164164,0.20000612580120952
49,False,500,-57.659489104616505,0.20000477048051513
50,False,500,-58.33262537793176,0.20000371502168726
51,False,500,-59.1581713729638,0.20000289308091568
52,False,500,-55.030854161374286,0.2000022529928192
53,False,500,-58.894654894535776,0.2000017545228742
54,False,500,-57.23282219268067,0.20000136633836105
55,False,500,-56.44155610458996,0.20000106403885884
56,False,500,-55.30616597887215,0.2000008286224887
57,False,500,-55.384173691637386,0.20000064529149764
58,False,500,-56.86554099448756,0.20000050252210458
59,False,500,-60.75596086140687,0.2000003913401409
60,False,500,-56.88336578988067,0.2000003047569539
61,False,500,-62.506500896884155,0.20000023733011582
62,False,500,-60.38244808862049,0.2000001848213245
63,False,500,-57.65902164318587,0.20000014392999335
64,False,500,-57.405258624420306,0.2000001120857836
65,False,500,-54.167069053761956,0.2000000872870386
66,True,480,-39.982461568578785,0.2000000686582955
67,False,500,-60.24931578220144,0.20000005346779134
68,False,500,-55.296686053225166,0.20000004163815444
69,False,500,-58.06748550069683,0.20000003242579992
70,False,500,-56.47322819672005,0.20000002525165958
71,False,500,-55.81029030666925,0.20000001966478276
72,False,500,-55.081372659056235,0.20000001531399073
73,False,500,-53.38057407641606,0.20000001192580236
74,False,500,-52.96328464385873,0.20000000928724354
75,False,500,-59.98359791528544,0.20000000723246036
76,False,500,-57.387952244779136,0.20000000563229364
77,False,500,-54.62055844922687,0.20000000438616047
78,False,500,-54.9348324920235,0.20000000341573165
79,False,500,-57.25920844728179,0.20000000266000817
80,False,500,-58.88087661455561,0.20000000207148694
81,False,500,-55.53997704777886,0.2000000016131748
82,False,500,-54.55754039457151,0.20000000125626324
83,False,500,-56.51358806775767,0.20000000097831763
84,False,500,-52.183876538339106,0.20000000076186691
85,False,500,-58.10396224026002,0.20000000059330544
86,False,500,-54.25432564551907,0.20000000046203786
87,False,500,-58.50110745993786,0.20000000035981297
88,False,500,-58.92325080775836,0.2000000002802051
89,False,500,-58.15037185169963,0.2000000002182103
