episode,success,steps,total_reward,final_exploration_rate
1,False,500,-79.49999999999991,0.7787520933134615
2,False,500,-75.10000000000002,0.606454822840097
3,False,500,-66.30000000000044,0.4722779627867691
4,False,500,-67.1000000000004,0.3677874521460121
5,False,500,-60.30000000000044,0.28641524825313086
6,False,500,-56.30000000000046,0.22304647413401948
7,False,500,-59.900000000000425,0.17369790863805412
8,False,500,-59.90000000000046,0.13526760995605422
9,False,500,-57.10000000000045,0.10533993441078586
10,False,500,-55.100000000000456,0.0820336944319021
11,True,392,-35.500000000000284,0.06742939525574491
12,False,500,-54.30000000000044,0.052510782706272026
13,False,500,-56.30000000000046,0.05
14,False,500,-55.90000000000046,0.05
15,False,500,-56.30000000000044,0.05
16,False,500,-57.900000000000425,0.05
17,False,500,-57.100000000000456,0.05
18,False,500,-56.70000000000047,0.05
19,False,500,-59.900000000000446,0.05
20,False,500,-57.10000000000046,0.05
21,False,500,-59.10000000000045,0.05
22,False,500,-57.90000000000043,0.05
23,False,500,-59.50000000000044,0.05
24,False,500,-55.90000000000043,0.05
25,False,500,-55.60000000000045,0.05
26,False,500,-56.300000000000466,0.05
27,False,500,-57.90000000000043,0.05
28,False,500,-63.50000000000045,0.05
29,False,500,-59.50000000000045,0.05
30,False,500,-58.40000000000048,0.05
31,False,500,-63.50000000000045,0.05
32,False,500,-55.100000000000435,0.05
33,False,500,-54.700000000000465,0.05
34,False,500,-57.90000000000047,0.05
35,False,500,-60.30000000000054,0.05
36,False,500,-56.30000000000046,0.05
37,False,500,-55.500000000000455,0.05
38,False,500,-60.30000000000044,0.05
39,False,500,-58.70000000000044,0.05
40,False,500,-57.900000000000496,0.05
41,False,500,-60.300000000000466,0.05
42,False,500,-55.90000000000047,0.05
43,False,500,-57.10000000000046,0.05
44,False,500,-55.90000000000043,0.05
45,False,500,-59.500000000000476,0.05
46,False,500,-54.70000000000046,0.05
47,False,500,-57.10000000000047,0.05
48,False,500,-56.3000000000005,0.05
49,False,500,-57.50000000000045,0.05
