episode,success,steps,total_reward,final_exploration_rate,avg_cycle_time,max_steps_env
1,False,200,-28.984623451524214,1.0,0.0,200
2,False,200,-28.984623451524214,1.0,0.0,200
3,False,200,-28.984623451524214,1.0,0.0,200
4,False,200,-28.984623451524214,1.0,0.0,200
5,False,200,-28.984623451524214,1.0,0.0,200
6,False,200,-28.984623451524214,1.0,0.0,200
7,False,200,-28.984623451524214,1.0,0.0,200
8,False,200,-28.984623451524214,1.0,0.0,200
9,False,200,-28.984623451524214,1.0,0.0,200
10,False,200,-28.984623451524214,1.0,0.0,200
11,False,200,-28.984623451524214,1.0,0.0,200
12,False,200,-28.984623451524214,1.0,0.0,200
13,False,200,-28.984623451524214,1.0,0.0,200
14,False,200,-28.984623451524214,1.0,0.0,200
15,False,200,-28.984623451524214,1.0,0.0,200
16,False,200,-28.984623451524214,1.0,0.0,200
17,False,200,-28.984623451524214,1.0,0.0,200
18,False,200,-28.984623451524214,1.0,0.0,200
19,False,200,-28.984623451524214,1.0,0.0,200
20,False,200,-28.984623451524214,1.0,0.0,200
21,False,200,-28.984623451524214,1.0,0.0,200
22,False,200,-28.984623451524214,1.0,0.0,200
23,False,200,-28.984623451524214,1.0,0.0,200
24,False,200,-28.984623451524214,1.0,0.0,200
25,False,200,-28.984623451524214,1.0,0.0,200
26,False,200,-28.984623451524214,1.0,0.0,200
27,False,200,-28.984623451524214,1.0,0.0,200
28,False,200,-28.984623451524214,1.0,0.0,200
29,False,200,-28.984623451524214,1.0,0.0,200
30,False,200,-28.984623451524214,1.0,0.0,200
31,False,200,-28.984623451524214,1.0,0.0,200
32,False,200,-28.984623451524214,1.0,0.0,200
33,False,200,-28.984623451524214,1.0,0.0,200
34,False,200,-28.984623451524214,1.0,0.0,200
35,False,200,-28.984623451524214,1.0,0.0,200
36,False,200,-28.984623451524214,1.0,0.0,200
37,False,200,-28.984623451524214,1.0,0.0,200
38,False,200,-28.984623451524214,1.0,0.0,200
39,False,200,-28.984623451524214,1.0,0.0,200
40,False,200,-28.984623451524214,1.0,0.0,200
41,False,200,-28.984623451524214,1.0,0.0,200
42,False,200,-28.984623451524214,1.0,0.0,200
43,False,200,-28.984623451524214,1.0,0.0,200
44,False,200,-28.984623451524214,1.0,0.0,200
45,False,200,-28.984623451524214,1.0,0.0,200
46,False,200,-28.984623451524214,1.0,0.0,200
47,False,200,-28.984623451524214,1.0,0.0,200
48,False,200,-28.984623451524214,1.0,0.0,200
49,False,200,-28.984623451524214,1.0,0.0,200
50,False,200,-28.984623451524214,1.0,0.0,200
51,False,200,-28.984623451524214,1.0,0.0,200
52,False,200,-28.984623451524214,1.0,0.0,200
53,False,200,-28.984623451524214,1.0,0.0,200
54,False,200,-28.984623451524214,1.0,0.0,200
55,False,200,-28.984623451524214,1.0,0.0,200
56,False,200,-28.984623451524214,1.0,0.0,200
57,False,200,-28.984623451524214,1.0,0.0,200
58,False,200,-28.984623451524214,1.0,0.0,200
59,False,200,-28.984623451524214,1.0,0.0,200
60,False,200,-28.984623451524214,1.0,0.0,200
61,False,200,-28.984623451524214,1.0,0.0,200
62,False,200,-28.984623451524214,1.0,0.0,200
63,False,200,-28.984623451524214,1.0,0.0,200
64,False,200,-28.984623451524214,1.0,0.0,200
65,False,200,-28.984623451524214,1.0,0.0,200
66,False,200,-28.984623451524214,1.0,0.0,200
67,False,200,-28.984623451524214,1.0,0.0,200
68,False,200,-28.984623451524214,1.0,0.0,200
69,False,200,-28.984623451524214,1.0,0.0,200
70,False,200,-28.984623451524214,1.0,0.0,200
71,False,200,-28.984623451524214,1.0,0.0,200
72,False,200,-28.984623451524214,1.0,0.0,200
73,False,200,-28.984623451524214,1.0,0.0,200
74,False,200,-28.984623451524214,1.0,0.0,200
75,False,200,-28.984623451524214,1.0,0.0,200
76,False,200,-28.984623451524214,1.0,0.0,200
77,False,200,-28.984623451524214,1.0,0.0,200
78,False,200,-28.984623451524214,1.0,0.0,200
79,False,200,-28.984623451524214,1.0,0.0,200
80,False,200,-28.984623451524214,1.0,0.0,200
81,False,200,-28.984623451524214,1.0,0.0,200
82,False,200,-28.984623451524214,1.0,0.0,200
83,False,200,-28.984623451524214,1.0,0.0,200
84,False,200,-28.984623451524214,1.0,0.0,200
85,False,200,-28.984623451524214,1.0,0.0,200
86,False,200,-28.984623451524214,1.0,0.0,200
87,False,200,-28.984623451524214,1.0,0.0,200
88,False,200,-28.984623451524214,1.0,0.0,200
89,False,200,-28.984623451524214,1.0,0.0,200
90,False,200,-28.984623451524214,1.0,0.0,200
91,False,200,-28.984623451524214,1.0,0.0,200
92,False,200,-28.984623451524214,1.0,0.0,200
93,False,200,-28.984623451524214,1.0,0.0,200
94,False,200,-28.984623451524214,1.0,0.0,200
95,False,200,-28.984623451524214,1.0,0.0,200
96,False,200,-28.984623451524214,1.0,0.0,200
97,False,200,-28.984623451524214,1.0,0.0,200
98,False,200,-28.984623451524214,1.0,0.0,200
99,False,200,-28.984623451524214,1.0,0.0,200
100,False,200,-28.984623451524214,1.0,0.0,200
